feature,family,mean_abs_weighted_shap,mean_weighted_shap,importance_fraction
cheap__v3__rd3d_getaway_099,2D descriptors,0.001053347873810327,8.12030947766262e-06,0.0004315619708377135
single__xtb_qcov_eig2,Single-conformer xTB,0.0010503155178947375,-3.3003194245150417e-05,0.0004303195992264438
cheap__v5__v5_mmffq_epair_N_N_dist_absq,2D descriptors,0.0010492004305667543,-6.314592082473521e-05,0.00042986274228783356
mc3__xtb_mc3_xtb_qcov_eig2_min,Three-conformer xTB,0.0010484128793764853,0.00018011807682142137,0.00042954007856746304
mc3__xtb_mc3_xtb_abs_charge_moment1_lowe,Three-conformer xTB,0.0010463428961967444,0.00017862708197020314,0.0004286919959512059
mc3__xtb_mc3_xtb_qcov_planarity_min,Three-conformer xTB,0.0010444745792678794,4.4072224662105286e-05,0.0004279265370216181
mc3__xtb_mc3_xtb_q_O_mean_std,Three-conformer xTB,0.0010409399261138304,6.494347969181277e-05,0.00042647837168202223
mc3__xtb_mc3_xtb_full_minus_qonly_dipole_debye_lowe,Three-conformer xTB,0.001040337278121781,-2.798456047317902e-05,0.00042623146374055605
mc3__xtb_mc3_xtb_pair_same_q_dist_mean_range,Three-conformer xTB,0.001039028532110065,0.00016435573326012719,0.00042569526385618264
mc3__xtb_mc3_xtb_qcov_trace_std,Three-conformer xTB,0.0010387945816215584,-0.00035387135153684327,0.00042559941315347685
cheap__v5__v5_mmffq_rbin1_opp_abs_qprod,2D descriptors,0.0010352233564677109,-0.00015264951381874692,0.00042413626407991904
atom3d__q_vec_x_range,Atom-resolved 3D,0.001033763225542635,1.7689319520368107e-05,0.0004235380410280915
mc3__xtb_mc3_xtb_full_minus_qonly_dipole_debye_std,Three-conformer xTB,0.0010312024856706527,-0.000185635318101493,0.0004224888929038752
mc3__xtb_mc3_xtb_pair_abs_q_dist_sum_range,Three-conformer xTB,0.0010275442134444906,7.163974430616057e-05,0.0004209900802029273
mc3__xtb_mc3_xtb_q_N_sum_max,Three-conformer xTB,0.0010256987826208056,-0.00017646632074221142,0.00042023399782680474
cheap__v5__v5_mmffq_rdf_4p5_opp,2D descriptors,0.0010242084938274418,-0.0005251297952430336,0.00041962341894325416
cheap__v5__v5_mmffq_rdf_5p75_abs,2D descriptors,0.00102365714055551,0.0006502329198248554,0.00041939752670899923
cheap__v4__v4_mmffq_q_S_mean,2D descriptors,0.0010203613324595048,-0.00010339567012464956,0.00041804721740209405
mc3__xtb_mc3_xtb_q_range_min,Three-conformer xTB,0.0010091690937280224,0.00032597102373589724,0.0004134617003804738
atom3d__signed_cov_eig2_lowe,Atom-resolved 3D,0.0010089741752938436,-0.00021207584340849763,0.00041338184130855813
mc3__xtb_mc3_xtb_q_range_mean,Three-conformer xTB,0.001006909104960201,0.0006221188094488475,0.0004125357715102858
mc3__xtb_mc3_xtb_qcov_trace_range,Three-conformer xTB,0.0010050957468006987,-0.00030488100915749606,0.0004117928294674841
cheap__v5__v5_gast_epair_N_N_dist_absq,2D descriptors,0.0010023214175842114,6.083942737348934e-05,0.0004106561727046154
cheap__v4__v4_gast3d_dipole_y_abs_max,2D descriptors,0.0010018509126721057,-1.566803026349859e-05,0.00041046340445377854
mc3__xtb_mc3_xtb_pair_same_q_dist_mean_max,Three-conformer xTB,0.0009955519493035263,-0.00023455640911890582,0.0004078826871872735
cheap__v3__rd3d_getaway_148,2D descriptors,0.0009944116569526047,-0.00013903996472244736,0.00040741550362282124
mc3__xtb_mc3_xtb_quad_eig2_range,Three-conformer xTB,0.000992018802560566,-0.00016755527289696355,0.00040643513903194743
mc3__xtb_mc3_xtb_q_C_std_min,Three-conformer xTB,0.0009906647014146601,-4.8190209369387805e-05,0.00040588035691886746
mc3__xtb_mc3_xtb_full_minus_qonly_dipole_debye_mean,Three-conformer xTB,0.0009860341614579041,-7.255830748366943e-07,0.0004039832011933315
atom3d__full_q_dot_std,Atom-resolved 3D,0.000982502999889999,8.230703694886988e-05,0.00040253646637430256
cheap__v5__v5_mmffq_rbin7_heavy_abs_qprod,2D descriptors,0.0009818779281667493,0.0002365040800757117,0.00040228037131633773
cheap__v5__v5_mmffq_rbin4_abs_qprod,2D descriptors,0.0009812070877941654,5.240108832052827e-05,0.00040200552461041277
cheap__v5__v5_mmffq_rdf_3p5_opp,2D descriptors,0.0009769659482507817,0.00019421773944965453,0.0004002679082108851
cheap__v3__rd3d_autocorr2d_092,2D descriptors,0.0009752403866583886,0.00014667042741428704,0.0003995609368672954
cheap__v3__rd3d_getaway_196,2D descriptors,0.0009747761864962773,-4.9408773325595345e-05,0.000399370751704535
mc3__xtb_mc3_xtb_q_N_std_max,Three-conformer xTB,0.0009706419963555042,-1.8341080601393123e-05,0.0003976769530181467
mc3__xtb_mc3_xtb_qcov_eig1_mean,Three-conformer xTB,0.0009693524065541507,6.180604411901393e-05,0.00039714860153039825
single__xtb_q_min,Single-conformer xTB,0.0009677544680230109,0.0003515344002480724,0.0003964939180028361
mc3__xtb_mc3_xtb_qcov_anisotropy_mean,Three-conformer xTB,0.0009668727271499899,-0.00011507192578351499,0.00039613266429132236
derived__qmu_over_mu,Dipole-derived,0.000966109727555773,-8.682856433241683e-06,0.0003958200594844816
mc3__xtb_mc3_xtb_quad_anisotropy_max,Three-conformer xTB,0.0009581695854759711,-7.536281204752334e-06,0.0003925669429691415
cheap__v3__rd3d_getaway_136,2D descriptors,0.0009543644457995283,0.00016070672789667283,0.0003910079579282943
mc3__xtb_mc3_xtb_quad_eig2_std,Three-conformer xTB,0.0009501813151382537,2.6657686621386905e-07,0.0003892941080622278
mc3__xtb_mc3_xtb_q_O_std_min,Three-conformer xTB,0.0009495293690291668,-4.175225908899683e-05,0.00038902700243196735
mc3__xtb_mc3_xtb_q_N_sum_std,Three-conformer xTB,0.0009492498210010855,-4.349262531005451e-05,0.0003889124701858385
cheap__v5__v5_mmffq_rbin6_abs_qprod,2D descriptors,0.0009490664958627955,0.00019422312197444377,0.00038883736094609767
mc3__xtb_mc3_xtb_quad_eig1_range,Three-conformer xTB,0.0009485268026072817,4.4502278314012456e-05,0.00038861624587975703
cheap__v3__geom_radius_gyration,2D descriptors,0.0009468325326134333,0.00019859409857928052,0.0003879220948629315
mc3__xtb_mc3_xtb_quad_eig1_std,Three-conformer xTB,0.0009462532589457046,3.628703626856307e-06,0.00038768476350079087
mc3__xtb_mc3_xtb_qcov_eig3_max,Three-conformer xTB,0.0009456149521057974,3.379442650161519e-05,0.0003874232459483482
single__xtb_q_N_std,Single-conformer xTB,0.0009441320937978562,-0.00013651556091427347,0.00038681571137239343
cheap__v3__rd3d_autocorr3d_053,2D descriptors,0.0009414071261803987,-2.6506120281522056e-06,0.00038569927830721346
cheap__v4__v4_gast3d_abs_charge_moment3_mean,2D descriptors,0.0009376975738842408,0.00031234835653845354,0.00038417945590128364
cheap__v5__v5_mmffq_pair_opp_dist_std,2D descriptors,0.0009351967147024461,1.1356645917400209e-06,0.0003831548411997997
atom3d__quad_eig2_boltz,Atom-resolved 3D,0.0009347488063778122,0.00010027066320123914,0.00038297133088555335
cheap__v5__v5_mmffq_epair_C_F_signedq,2D descriptors,0.000934744217008117,0.0001354710100796438,0.000382969450597493
mc3__xtb_mc3_xtb_qcov_eig2_std,Three-conformer xTB,0.0009312498721150832,-0.0001564243928415942,0.00038153779975704525
mc3__xtb_mc3_xtb_q_O_sum_max,Three-conformer xTB,0.0009293421798911829,-1.6122499356340643e-05,0.00038075620856920715
cheap__v4__v4_mmffq3d_pos_neg_center_dist_min,2D descriptors,0.0009265676208346451,-0.00010693597142577663,0.000379619457639703
cheap__v3__rd3d_autocorr2d_026,2D descriptors,0.0009235593168202329,-0.0002054632112130863,0.00037838694021443645
cheap__v3__rd3d_morse_193,2D descriptors,0.0009188077784171648,2.7244954146492795e-05,0.00037644021081124175
cheap__v5__v5_mmffq_rbin5_opp_abs_qprod,2D descriptors,0.0009181421044549224,0.00013005856330148484,0.0003761674808098591
atom3d__q_vec_z_min,Atom-resolved 3D,0.000917193257744846,8.054966229714896e-05,0.0003757787334962654
mc3__xtb_mc3_xtb_qcov_anisotropy_max,Three-conformer xTB,0.0009143522580632788,0.00010608496087412291,0.000374614761505425
mc3__xtb_mc3_xtb_qcov_eig2_max,Three-conformer xTB,0.0009138623742900275,0.00010896789724725008,0.000374414053636807
cheap__v4__v4_gast3d_qcov_eig2_min,2D descriptors,0.0009134944138918391,-0.00013143046815120387,0.00037426329839385206
mc3__xtb_mc3_xtb_qonly_dipole_debye_range,Three-conformer xTB,0.000910087691482403,0.00013012584777793,0.000372867546929718
mc3__xtb_mc3_xtb_q_N_std_std,Three-conformer xTB,0.000908389023761902,-0.0001756713409772209,0.00037217159414195945
mc3__xtb_mc3_xtb_qcov_anisotropy_std,Three-conformer xTB,0.0009064089417480523,1.1248281825573163e-05,0.0003713603444897186
cheap__v4__v4_gast3d_abs_charge_weighted_rg_max,2D descriptors,0.0009062790844661455,-0.0002265606850950588,0.0003713071413021481
mc3__xtb_mc3_xtb_q_C_std_lowe,Three-conformer xTB,0.0009048313166498415,-5.3077638512821155e-05,0.0003707139834787412
mc3__xtb_mc3_xtb_q_C_abs_sum_min,Three-conformer xTB,0.000901448756423175,-2.8307830434995924e-05,0.0003693281313835384
single__xtb_q_O_abs_sum,Single-conformer xTB,0.0008977590861741499,-0.0007919233766955149,0.0003678164547532429
cheap__v5__v5_mmffq_rdf_3p5_same,2D descriptors,0.0008966278876635032,8.82334786339538e-05,0.0003673529969813129
mc3__xtb_mc3_xtb_quad_eig3_max,Three-conformer xTB,0.0008965179432200648,0.00018049757828100007,0.00036730795218474315
cheap__v5__v5_gast_epair_C_N_absq,2D descriptors,0.0008957477036580332,-0.0001327051315839629,0.00036699238112633764
cheap__v4__v4_mmffq_q_N_std,2D descriptors,0.0008952441716621238,2.150162020134742e-05,0.0003667860815116164
cheap__v4__v4_mmffq3d_dipole_per_abs_charge_mean,2D descriptors,0.0008950804912412587,1.0805054130818713e-05,0.0003667190208123238
cheap__v5__v5_mmffq_rdf_2p75_same,2D descriptors,0.0008930282246252437,0.00018872072861707902,0.0003658781967621569
mc3__xtb_mc3_xtb_q_std_std,Three-conformer xTB,0.0008856419086556209,8.070842781196321e-05,0.00036285198561545413
cheap__v3__rd3d_whim_066,2D descriptors,0.0008851638234956503,0.00017285040125058674,0.00036265611169858863
mc3__xtb_mc3_xtb_q_C_std_max,Three-conformer xTB,0.0008795420109670186,0.0001741496496750277,0.00036035282656852026
cheap__v5__v5_mmffq_rdf_2p75_opp,2D descriptors,0.0008767583188013825,-0.000556279172340603,0.00035921233375785764
mc3__xtb_mc3_xtb_quad_eig3_range,Three-conformer xTB,0.0008764509265230844,-4.8602220612837047e-05,0.00035908639358107376
mc3__xtb_mc3_xtb_quad_frobenius_std,Three-conformer xTB,0.0008747821774847273,-3.207874549248167e-05,0.0003584026986292609
cheap__v4__v4_mmffq_q_heavy_std,2D descriptors,0.0008742733318561172,-0.00019171762285017947,0.00035819422199224945
mc3__xtb_mc3_xtb_heavy_q_abs_sum_max,Three-conformer xTB,0.0008731103224224849,0.0001921843378608071,0.0003577177311236957
single__xtb_q_N_abs_sum,Single-conformer xTB,0.0008729708088296117,0.00028226863723459985,0.00035766057169650544
atom3d__quad_eig1_max,Atom-resolved 3D,0.0008699895706471138,5.339368952886949e-05,0.000356439143279964
mc3__xtb_mc3_xtb_q_S_sum_mean,Three-conformer xTB,0.0008693182345757471,0.00030720364034490273,0.0003561640934837315
single__xtb_qonly_dipole_debye,Single-conformer xTB,0.0008691588591940184,-1.4887906632866941e-05,0.0003560987965808261
cheap__v3__rd2d_NumHAcceptors,2D descriptors,0.0008667243650358536,-4.982190003765927e-05,0.0003551013719664012
cheap__v5__v5_mmffq_pair_absq_dist_mean,2D descriptors,0.0008662302447774962,-2.8952945822975045e-05,0.00035489892838833027
cheap__v5__v5_mmffq_topo1_opp_abs_qprod,2D descriptors,0.0008623282342745551,0.0004956554275371192,0.0003533002548781373
cheap__v5__v5_mmffq_pair_signed_qprod_sum,2D descriptors,0.0008611841722012347,-0.000589830446359671,0.0003528315268392826
mc3__xtb_mc3_xtb_q_N_abs_sum_std,Three-conformer xTB,0.0008607431607504134,-0.0002566120998458402,0.00035265084220924677
atom3d__charge_cov_eig2_mean,Atom-resolved 3D,0.0008591325154556088,0.00012143683032084845,0.0003519909526561099
cheap__v3__rd3d_whim_078,2D descriptors,0.0008561768270483939,4.0941637605129e-05,0.00035077999211219606
single__xtb_q_H_mean,Single-conformer xTB,0.0008557956016200704,-0.00023473992711843983,0.00035062380211905964
atom3d__pos_neg_center_dist_min,Atom-resolved 3D,0.0008515026627356993,7.810131075370496e-05,0.0003488649632665889
cheap__v5__v5_mmffq_pair_abs_qprod_heavy_sum,2D descriptors,0.0008469981255410918,-0.0003791041674608741,0.0003470194315123124
mc3__xtb_mc3_xtb_quad_anisotropy_min,Three-conformer xTB,0.0008448075051389458,4.896625625002425e-05,0.00034612192321366493
mc3__xtb_mc3_xtb_q_O_sum_mean,Three-conformer xTB,0.0008446701989111688,-5.191310852514976e-05,0.0003460656681551595
mc3__xtb_mc3_xtb_abs_charge_moment3_mean,Three-conformer xTB,0.0008418571766609333,2.8712930915496238e-05,0.00034491315865995304
cheap__v4__v4_mmffq3d_dipole_per_heavy_atom_max,2D descriptors,0.0008416899353747522,8.524383045983009e-05,0.00034484463905606503
mc3__xtb_mc3_xtb_q_S_mean_lowe,Three-conformer xTB,0.0008401017614212863,0.00032841717569184666,0.0003441939561255422
cheap__v5__v5_mmffq_rdf_2p25_same,2D descriptors,0.0008393169373876485,0.00042800090941334,0.0003438724097350869
mc3__xtb_mc3_xtb_quad_anisotropy_range,Three-conformer xTB,0.0008388482374572366,1.2202104864178299e-05,0.00034368038099441225
mc3__xtb_mc3_xtb_pair_same_q_dist_mean_mean,Three-conformer xTB,0.0008379421355787105,-0.00012707726735392862,0.0003433091464552833
single__xtb_q_C_sum,Single-conformer xTB,0.0008379055185253847,-0.0001643606810740427,0.00034329414426266254
mc3__xtb_mc3_xtb_q_max_range,Three-conformer xTB,0.0008229025187547411,-0.00016254353221703104,0.00033714733909935465
cheap__v3__rd3d_getaway_197,2D descriptors,0.0008218825516026239,-9.204833145276417e-06,0.00033672945337963973
mc3__xtb_mc3_xtb_abs_charge_moment3_std,Three-conformer xTB,0.0008199974691483385,-3.394934340063417e-05,0.0003359571255291831
cheap__v3__rd2d_VSA_EState6,2D descriptors,0.0008182436137562984,-0.00020570489329903259,0.0003352385620722548
mc3__xtb_mc3_xtb_q_C_abs_sum_std,Three-conformer xTB,0.0008086472011691729,-0.00011128556334632838,0.000331306863122609
mc3__xtb_mc3_xtb_q_C_abs_sum_lowe,Three-conformer xTB,0.0008082370682561226,0.00025216551731307334,0.00033113882958624163
mc3__xtb_mc3_xtb_q_H_mean_max,Three-conformer xTB,0.0008056713966396549,7.329077944689209e-05,0.0003300876609012754
cheap__v4__v4_mmffq_q_S_sum,2D descriptors,0.0008051100640154679,-8.134143532582584e-05,0.00032985768007574493
mc3__xtb_mc3_xtb_q_min_range,Three-conformer xTB,0.0007967832029838202,0.0002665867791183927,0.0003264461228427954
atom3d__quad_eig3_lowe,Atom-resolved 3D,0.0007936406570757329,-0.0001068633420653304,0.00032515860583225993
cheap__v5__v5_mmffq_topo2_abs_qprod,2D descriptors,0.0007934175432806925,9.615816592463832e-05,0.0003250671949778758
mc3__xtb_mc3_xtb_qcov_planarity_range,Three-conformer xTB,0.0007934058766052957,0.0001145540310803559,0.0003250624150817441
mc3__xtb_mc3_xtb_pair_opposite_q_dist_sum_range,Three-conformer xTB,0.000792372486824337,0.00022064320366802471,0.0003246390300428577
atom3d__pair_C_N_absqdist_lowe,Atom-resolved 3D,0.0007885660490538529,8.589397494106658e-05,0.00032307951316629254
atom3d__full_charge_dipole_cos_max,Atom-resolved 3D,0.0007876269257820027,-3.948945166999995e-05,0.00032269474959469756
mc3__xtb_mc3_xtb_abs_charge_moment1_min,Three-conformer xTB,0.0007876121145152942,0.00013573653988567148,0.00032268868134354307
