group,nearest_tanimoto,id
Evaluation,0.72727275,5287
Evaluation,1.0,5293
Evaluation,0.7894737,5323
Evaluation,0.42307693,5336
Evaluation,0.6551724,5362
Evaluation,0.6296296,5391
Evaluation,0.4814815,5401
Evaluation,0.6956522,5404
Evaluation,0.6818182,5420
Evaluation,0.68,5425
Evaluation,0.65384614,5434
Evaluation,0.6363636,5452
Evaluation,0.68,5476
Evaluation,0.5555556,5483
Evaluation,0.6,5523
Evaluation,0.65217394,5524
Evaluation,0.59090906,5537
Evaluation,0.5416667,5538
Evaluation,0.9,5630
Evaluation,0.6551724,5639
Evaluation,0.625,5665
Evaluation,0.625,5681
Evaluation,0.68,5683
Evaluation,0.61904764,5729
Evaluation,0.5217391,5736
Evaluation,0.6086956,5738
Evaluation,0.65217394,5740
Evaluation,0.52,5745
Evaluation,0.4814815,5749
Evaluation,0.5,5750
Evaluation,1.0,5752
Evaluation,0.6551724,5757
Evaluation,0.6551724,5775
Evaluation,0.5555556,5785
Evaluation,0.5,5789
Evaluation,0.5652174,5814
Evaluation,0.5652174,5828
Evaluation,0.5,5878
Evaluation,0.55,5880
Evaluation,0.44444445,5887
Evaluation,0.5294118,5913
Evaluation,0.45454547,5914
Evaluation,0.64705884,5923
Evaluation,0.625,5947
Evaluation,1.0,5956
Evaluation,1.0,5957
Evaluation,0.44444445,5966
Evaluation,0.72,5980
Evaluation,0.5833333,6055
Evaluation,1.0,6079
Evaluation,0.2857143,6085
Evaluation,0.21428572,6086
Evaluation,0.4,6093
Evaluation,1.0,6116
Evaluation,0.33333334,6121
Evaluation,0.375,6183
Evaluation,0.5,6200
Evaluation,0.71428573,6202
Evaluation,0.4,6223
Evaluation,0.35,6226
Evaluation,0.5714286,6229
Evaluation,0.35,6240
Evaluation,0.36363637,6258
Evaluation,0.44444445,6262
Evaluation,0.64705884,6280
Evaluation,0.32,6319
Evaluation,0.4117647,6327
Evaluation,0.3809524,6342
Evaluation,0.6315789,6345
Evaluation,0.39130434,6355
Evaluation,0.36363637,6368
Evaluation,0.3043478,6369
Evaluation,0.53333336,6385
Evaluation,0.39130434,6391
Evaluation,0.5,6401
Evaluation,0.47619048,6402
Evaluation,0.6666667,6409
Evaluation,0.3181818,6425
Evaluation,0.33333334,6433
Evaluation,0.5263158,6454
Evaluation,0.44444445,6466
