group,threshold,coverage
Candidates,0.30000000000000004,1.0
Candidates,0.305,1.0
Candidates,0.31,1.0
Candidates,0.315,1.0
Candidates,0.32,0.9871794871794872
Candidates,0.325,0.9871794871794872
Candidates,0.33,0.9871794871794872
Candidates,0.335,0.9871794871794872
Candidates,0.34,0.9871794871794872
Candidates,0.345,0.9871794871794872
Candidates,0.35,0.9871794871794872
Candidates,0.355,0.9871794871794872
Candidates,0.36,0.9871794871794872
Candidates,0.365,0.9871794871794872
Candidates,0.37,0.9871794871794872
Candidates,0.375,0.9871794871794872
Candidates,0.38,0.9871794871794872
Candidates,0.385,0.9871794871794872
Candidates,0.39,0.9871794871794872
Candidates,0.395,0.9871794871794872
Candidates,0.4,0.9871794871794872
Candidates,0.405,0.9743589743589743
Candidates,0.41000000000000003,0.9487179487179487
Candidates,0.41500000000000004,0.9487179487179487
Candidates,0.42000000000000004,0.9487179487179487
Candidates,0.42500000000000004,0.9487179487179487
Candidates,0.43000000000000005,0.9358974358974359
Candidates,0.43500000000000005,0.9358974358974359
Candidates,0.44,0.9358974358974359
Candidates,0.445,0.9358974358974359
Candidates,0.45,0.9358974358974359
Candidates,0.455,0.9230769230769231
Candidates,0.46,0.9230769230769231
Candidates,0.465,0.9230769230769231
Candidates,0.47000000000000003,0.9230769230769231
Candidates,0.47500000000000003,0.9230769230769231
Candidates,0.48000000000000004,0.9230769230769231
Candidates,0.48500000000000004,0.9230769230769231
Candidates,0.49,0.9230769230769231
Candidates,0.495,0.9230769230769231
Candidates,0.5,0.9230769230769231
Candidates,0.505,0.8333333333333334
Candidates,0.51,0.8333333333333334
Candidates,0.515,0.8333333333333334
Candidates,0.52,0.8333333333333334
Candidates,0.525,0.8333333333333334
Candidates,0.53,0.8333333333333334
Candidates,0.535,0.8333333333333334
Candidates,0.54,0.8076923076923077
Candidates,0.545,0.7948717948717948
Candidates,0.55,0.7948717948717948
Candidates,0.5549999999999999,0.7948717948717948
Candidates,0.56,0.7692307692307693
Candidates,0.565,0.7692307692307693
Candidates,0.5700000000000001,0.7564102564102564
Candidates,0.575,0.7435897435897436
Candidates,0.5800000000000001,0.717948717948718
Candidates,0.585,0.6666666666666666
Candidates,0.5900000000000001,0.6666666666666666
Candidates,0.595,0.6410256410256411
Candidates,0.6000000000000001,0.5769230769230769
Candidates,0.605,0.5769230769230769
Candidates,0.6100000000000001,0.5769230769230769
Candidates,0.615,0.5641025641025641
Candidates,0.62,0.5128205128205128
Candidates,0.625,0.5128205128205128
Candidates,0.63,0.5128205128205128
Candidates,0.635,0.47435897435897434
Candidates,0.64,0.44871794871794873
Candidates,0.645,0.44871794871794873
Candidates,0.65,0.44871794871794873
Candidates,0.655,0.4358974358974359
Candidates,0.66,0.4358974358974359
Candidates,0.665,0.4358974358974359
Candidates,0.67,0.41025641025641024
Candidates,0.675,0.41025641025641024
Candidates,0.6799999999999999,0.41025641025641024
Candidates,0.685,0.41025641025641024
Candidates,0.69,0.41025641025641024
Candidates,0.6950000000000001,0.41025641025641024
Candidates,0.7,0.41025641025641024
Candidates,0.7050000000000001,0.3717948717948718
Candidates,0.71,0.3717948717948718
Candidates,0.7150000000000001,0.3333333333333333
Candidates,0.72,0.3333333333333333
Candidates,0.7250000000000001,0.3333333333333333
Candidates,0.73,0.3333333333333333
Candidates,0.7350000000000001,0.3076923076923077
Candidates,0.74,0.3076923076923077
Candidates,0.7450000000000001,0.3076923076923077
Candidates,0.75,0.3076923076923077
Candidates,0.7550000000000001,0.28205128205128205
Candidates,0.76,0.28205128205128205
Candidates,0.7650000000000001,0.2692307692307692
Candidates,0.77,0.2692307692307692
Candidates,0.7750000000000001,0.2692307692307692
Candidates,0.78,0.2692307692307692
Candidates,0.7849999999999999,0.2692307692307692
Candidates,0.79,0.2564102564102564
Candidates,0.7949999999999999,0.2564102564102564
Candidates,0.8,0.2564102564102564
Candidates,0.8049999999999999,0.24358974358974358
Candidates,0.81,0.24358974358974358
Candidates,0.815,0.24358974358974358
Candidates,0.8200000000000001,0.24358974358974358
Candidates,0.825,0.23076923076923078
Candidates,0.8300000000000001,0.23076923076923078
Candidates,0.835,0.21794871794871795
Candidates,0.8400000000000001,0.21794871794871795
Candidates,0.845,0.20512820512820512
Candidates,0.8500000000000001,0.19230769230769232
Candidates,0.855,0.19230769230769232
Candidates,0.8600000000000001,0.19230769230769232
Candidates,0.865,0.19230769230769232
Candidates,0.8700000000000001,0.19230769230769232
Candidates,0.875,0.19230769230769232
Candidates,0.8800000000000001,0.19230769230769232
Candidates,0.885,0.19230769230769232
Candidates,0.8900000000000001,0.1794871794871795
Candidates,0.895,0.1794871794871795
Candidates,0.9000000000000001,0.1794871794871795
Candidates,0.905,0.1794871794871795
Candidates,0.9099999999999999,0.16666666666666666
Candidates,0.915,0.16666666666666666
Candidates,0.9199999999999999,0.16666666666666666
Candidates,0.925,0.15384615384615385
Candidates,0.9299999999999999,0.15384615384615385
Candidates,0.935,0.15384615384615385
Candidates,0.94,0.15384615384615385
Candidates,0.9450000000000001,0.15384615384615385
Candidates,0.95,0.15384615384615385
