family,mean_abs_weighted_shap,importance_fraction
2D descriptors,1.137904728539193,0.46620534344226905
Three-conformer xTB,0.8604787714228127,0.3525425205596524
Atom-resolved 3D,0.23916984084858936,0.09798909785443338
Single-conformer xTB,0.1770542082488457,0.0725400078708866
Dipole-derived,0.02617255898773664,0.010723030272758498
