coverage,coverage_percent,mean_absolute_rank_error,risk_ci_low,risk_ci_high,top10_precision,precision_ci_low,precision_ci_high
0.1,10.0,5.110625,4.617749999999998,5.8143828125,0.925,0.825,1.0
0.15000000000000002,15.000000000000002,6.1007083333333325,5.523905208333334,6.767607291666665,0.9166666666666666,0.8329166666666667,0.9833333333333333
0.2,20.0,6.91896875,6.348607031249999,7.453837500000001,0.8875,0.8,0.95
0.25,25.0,7.363475,6.80531125,7.905633124999999,0.86,0.79,0.9202499999999998
0.30000000000000004,30.000000000000004,7.7645,7.2723125,8.296981770833334,0.8416666666666667,0.7747916666666667,0.9083333333333333
0.35,35.0,8.271053571428572,7.765050446428572,8.718283035714286,0.8285714285714286,0.7571428571428571,0.8858928571428569
0.4,40.0,8.514203125,8.041183203125,8.929601953124997,0.79375,0.725,0.8625
0.45000000000000007,45.00000000000001,8.765152777777777,8.30820763888889,9.194220138888888,0.7666666666666667,0.6888888888888889,0.8333333333333334
0.5,50.0,9.096612499999999,8.6363446875,9.560683124999999,0.725,0.66,0.795
0.55,55.00000000000001,9.58565909090909,9.171134090909092,10.011817329545453,0.7090909090909091,0.6318181818181818,0.7636363636363637
0.6,60.0,9.874135416666666,9.447134635416667,10.282559114583334,0.6708333333333333,0.5958333333333333,0.7334374999999999
0.65,65.0,10.113125,9.711235336538461,10.541271634615386,0.6384615384615384,0.5692307692307692,0.6961538461538461
0.7000000000000001,70.0,10.359553571428572,9.982950223214285,10.768141294642856,0.6178571428571429,0.5570535714285715,0.6714285714285714
0.75,75.0,10.612833333333333,10.238890833333334,11.040678541666667,0.5933333333333334,0.5399166666666667,0.6533333333333333
0.8,80.0,10.9125546875,10.5627751953125,11.29075546875,0.5875,0.53125,0.640625
0.85,85.0,11.099235294117648,10.741600919117648,11.456129595588237,0.5823529411764706,0.5294117647058824,0.638235294117647
0.9,90.0,11.394006944444445,11.045308680555555,11.773587326388887,0.5861111111111111,0.5361111111111111,0.6361111111111111
0.9500000000000001,95.0,11.628230263157896,11.295466118421052,12.026668749999999,0.5868421052631579,0.5368421052631579,0.6368421052631579
1.0,100.0,12.046574999999999,11.696823281250001,12.40655921875,0.5825,0.5375,0.63
