member,final_fusion_weight,within_tabular_weight,prediction_sd,n_features
cat_raw,0.021641476152705535,0.03842238181609455,1.1634931541667213,1221
lgbm_normal,0.11351517891377887,0.2015353996821624,0.7983126640319824,1221
lgbm_rank,0.0721776864183133,0.1281446148404288,0.22754894196987152,1221
lgbm_raw,0.038919265787373133,0.0690974534053478,1.1829450130462646,1221
xgb_rank,0.10465435180951824,0.18580384422799626,0.22576258637422003,1093
xgb_raw,0.2123438522269022,0.3769963060279702,1.1762729896611874,1093
