,CatBoost rank,CatBoost raw,LightGBM normal,LightGBM rank,LightGBM raw,XGBoost rank,XGBoost raw,Equivariant vector
CatBoost rank,1.0,0.9786302863853387,0.9580565881017663,0.967744963891419,0.9592260074030936,0.9562620355561241,0.9494045264162893,0.6288926723551266
CatBoost raw,0.9786302863853387,1.0,0.9626590704080347,0.9574539658088563,0.9653316076264788,0.9472031751528214,0.9544306841567514,0.6242928150845127
LightGBM normal,0.9580565881017663,0.9626590704080347,1.0,0.9661075389457859,0.9749137801268425,0.9511720941383037,0.9580789088081674,0.6356709867788857
LightGBM rank,0.967744963891419,0.9574539658088563,0.9661075389457859,1.0,0.9673911975178469,0.9631281984841766,0.9540092942723577,0.6336842285133165
LightGBM raw,0.9592260074030936,0.9653316076264788,0.9749137801268425,0.9673911975178469,1.0,0.9526651125319532,0.9616103028016713,0.6315583605390342
XGBoost rank,0.9562620355561241,0.9472031751528214,0.9511720941383037,0.9631281984841766,0.9526651125319532,1.0,0.9670312168489432,0.6279820072146999
XGBoost raw,0.9494045264162893,0.9544306841567514,0.9580789088081674,0.9540092942723577,0.9616103028016713,0.9670312168489432,1.0,0.6251100380815086
Equivariant vector,0.6288926723551266,0.6242928150845127,0.6356709867788857,0.6336842285133165,0.6315583605390342,0.6279820072146999,0.6251100380815086,1.0
