pareto_order,standard_name,D_rank,P_rank,qD,qP,knee_distance,selected,chord_qP,chord_qD,recomputed_knee_distance
8,PC,1,52,1.0,0.337662338,0.0,False,0.337662338,1.0,0.0
7,DMTMSA,4,18,0.961038961,0.779220779,0.321044,True,0.528144992307518,0.7609629435407874,0.3210443324925513
6,DMEE,24,14,0.701298701,0.831168831,0.1998,False,0.6749135590961205,0.5767827812397825,0.19979971038889982
5,DMOTFS,31,5,0.61038961,0.948051948,0.234554,False,0.7646164499736235,0.46421444755506025,0.2345543861282268
4,TEP,38,4,0.519480519,0.961038961,0.188056,False,0.8139678750600823,0.40228324742757005,0.18805612136691685
3,TFEP,46,3,0.415584416,0.974025974,0.133464,False,0.8696489413538125,0.3324089681355775,0.13346430261111228
2,TRIGLYME,48,2,0.38961039,0.987012987,0.127434,False,0.8873521579670012,0.3101931668886846,0.12743381093829478
1,EGBE,65,1,0.168831169,1.0,0.0,False,1.0,0.16883116899999995,5.551115123125783e-17
