record_epoch,stage,stage_epoch,learning_rate,train_loss,spearman,ndcg_at_10pct,inner_rank_spearman,selection_score,elapsed_sec
1,High LR,1,0.0003,2.1853461318002068,0.6368808763320943,,0.4659775345426064,0.5941550408847224,294.92911079999976
2,High LR,2,0.0003,0.4468293314979922,0.6896331429826656,,0.5152342107665788,0.646033409928644,254.85837489999997
3,High LR,3,0.0003,0.4319104298818146,0.6997977717097352,,0.5398012696187494,0.6597986461869887,254.66490150000027
4,High LR,4,0.0003,0.4228164458379717,0.7075835494893452,,0.5605938471004818,0.6708361238921293,268.2942747999996
5,High LR,5,0.0003,0.4143073756324231,0.707731505763154,0.87920604163717,0.5705920813543486,0.6734434452705866,273.6921276000003
6,High LR,6,0.0003,0.4151359038793446,0.7264397947886019,0.8829943530967451,0.6137264547662371,0.6982614597830106,260.678088
7,High LR,7,0.0003,0.4056359950748007,0.7223467622177362,0.8857429989587533,0.6250710714317592,0.698027839521242,253.2221662000001
8,High LR,8,0.0003,0.3988221006309532,0.7251623063554208,0.889479265609565,0.6342669232310947,0.7024384605743392,251.47012070000005
9,High LR,9,0.0003,0.3933368074404529,0.7325925917491775,0.8887813822515273,0.6571395764300121,0.7137293379193861,245.55106739999997
10,High LR,10,0.0003,0.3876233036217452,0.7417018894009563,0.8932751607280012,0.6564629388149011,0.7203921517544425,242.78623270000003
11,High LR,11,0.0003,0.3808407247765673,0.7534683253751292,0.8961352056231289,0.6731323631672077,0.7333843348231488,241.7441225
12,High LR,12,0.0003,0.3774650029597743,0.7464018269153815,0.896787853969426,0.6684077040052635,0.726903296187852,242.41003549999985
13,High LR,13,0.0003,0.3734276096317425,0.7622291844536868,0.8960127555976931,0.6580656350611856,0.7361882971055616,241.71953900000017
14,High LR,14,0.0003,0.3666325995474617,0.7458962231059793,0.8966745514341746,0.6718332278240495,0.7273804742854968,241.5013638999999
15,High LR,15,0.0003,0.3626536003742749,0.7553571138792422,0.88820272983449,0.6649443720196071,0.7327539284143334,240.76690719999988
16,High LR,16,0.0003,0.3586543592190113,0.7615744608566378,0.8953275220872567,0.6856087297639347,0.7425830280834621,242.02296039999965
17,High LR,17,0.0003,0.3541792957139504,0.7701138545495945,0.9027242725676884,0.6925747859443933,0.7507290873982941,243.11378680000007
18,High LR,18,0.0003,0.3523483351528469,0.7684789231368436,0.8971861774804875,0.6900058488750628,0.7488606545713985,243.18778770000017
19,High LR,19,0.0003,0.3433052979606337,0.7620996871502103,0.8982814628309819,0.6838844985546984,0.7425458900013323,242.78486399999977
20,High LR,20,0.0003,0.3386795846335699,0.7692766985589412,0.9003714674300408,0.6923780662025938,0.7500520404698544,240.99654969999983
21,High LR,21,0.0003,0.3329434054862719,0.7659396367852253,0.9052001772402672,0.7034196332317432,0.7503096358968547,242.02726440000015
22,High LR,22,0.0003,0.3304265092544891,0.7699278120166544,0.8969877169517732,0.7008183911133037,0.7526504567908168,241.8244112000002
23,High LR,23,0.0003,0.3206405265589963,0.7757255180124345,0.9014052810951172,0.7002618464988883,0.756859600134048,242.19489340000015
24,High LR,24,0.0003,0.3154888553353698,0.7687834829451975,0.9133702946530816,0.7046881836909781,0.7527596581316426,249.0315896000002
25,High LR,25,0.0003,0.3115966476915169,0.7813240944581339,0.9055494311791312,0.7083670440403745,0.763084831853694,248.3725912
26,High LR,26,0.0003,0.3028788817418286,0.7702506179696679,0.9100041106528982,0.7033719046196787,0.7535309396321705,247.0491886
27,High LR,27,0.0003,0.2985243865034797,0.7731568570408788,0.902429714035726,0.7061666905753344,0.7564093154244926,244.87124229999972
28,High LR,28,0.0003,0.2921098204564489,0.7766306577052994,0.9117954247523978,0.7083158391738892,0.7595519530724468,244.47034840000015
29,High LR,29,0.0003,0.2863663632499157,0.7801814281683418,0.906149392881189,0.7163766781483711,0.7642302406633491,245.55892029999995
30,High LR,30,0.0003,0.2809039743240278,0.7708389614425195,0.8993352412781079,0.7174076619524248,0.7574811365699958,243.75052359999972
31,High LR,31,0.0003,0.2722353480778132,0.770158280505582,0.8977501646709839,0.7141422662851836,0.7561542769504824,243.71204860000032
32,High LR,32,0.0003,0.2733768230833965,0.7683146323844849,0.9030965507563116,0.7168808248447719,0.7554561804995567,245.5951376999992
33,High LR,33,0.0003,0.2607393882666166,0.7682016479656725,0.9116968651187286,0.7207420876588803,0.7563367578889744,245.0172747000006
34,High LR,34,0.0003,0.2536190763072184,0.7714542827518881,0.9086657458255416,0.7205298826016615,0.7587231827143315,247.11960570000065
35,High LR,35,0.0003,0.2497256978952989,0.7812984503615676,0.905588482479839,0.7230857608573993,0.7667452779855255,244.32443520000015
36,High LR,36,0.0003,0.2439204471901365,0.75041408171116,0.9003188501050958,0.7146227009264088,0.7414662365149722,244.06070850000015
37,High LR,37,0.0003,0.2374485762150756,0.7746460045829213,0.9105604284022316,0.7181916412515786,0.7605324137500856,245.8088303000004
38,High LR,38,0.0003,0.230526507905851,0.7703127949465822,0.9053051857883,0.714620113225742,0.7563896245163723,245.47341720000077
39,High LR,39,0.0003,0.2264497905008254,0.7630456406420904,0.8990059345401646,0.723462207847392,0.7531497824434157,244.63005429999976
40,High LR,40,0.0003,0.218764957269965,0.7677607084260601,0.9016656384557232,0.723701575144132,0.7567459251055781,245.5056625999987
41,High LR,41,0.0003,0.2143548308404659,0.7569366693720803,0.8994977750790445,0.7167909015566686,0.7469002274182274,246.58563709999908
42,High LR,42,0.0003,0.2103965262338912,0.7707405122564195,0.900782055633279,0.7194475212495599,0.7579172645047045,246.3073023000015
43,High LR,43,0.0003,0.2112276282740478,0.7662805490191114,0.9048299262465176,0.7181993682834408,0.7542602538351938,245.32440379999937
44,High LR,44,0.0003,0.2065973329928613,0.7515488680908894,0.901075728853971,0.7242771569258625,0.7447309402996326,246.12700179999956
45,High LR,45,0.0003,0.1970304633952306,0.7629666934168952,0.8973394776231846,0.7304501127198928,0.7548375482426446,245.64842350000072
46,High LR,46,0.0003,0.188436550129194,0.7590091985974656,0.9049911214506656,0.7288044267417269,0.7514580056335309,244.32240130000173
47,High LR,47,0.0003,0.182078409229905,0.7615645307237886,0.8966151989150569,0.7297880653174723,0.7536204143722096,244.58330220000065
48,High LR,48,0.0003,0.1762589607770142,0.7498429501392802,0.9089751514554693,0.724344494438405,0.7434683362140613,245.27302210000016
49,High LR,49,0.0003,0.1711691298530248,0.7640860413646989,0.8935544050908925,0.7232750272248412,0.7538832878297345,245.26078740000048
50,High LR,50,0.0003,0.1687259089387407,0.7581415086987383,0.9069919697125384,0.7284062748690711,0.7507077002413215,244.4002797000012
51,Low LR branch,1,5e-05,0.2087603028306513,0.7794135306377725,0.9136768173975512,0.7328013737515866,0.7677604914162259,290.06047690000014
52,Low LR branch,2,5e-05,0.1897326777320453,0.7739755060227573,0.9095220909571,0.7339347954838716,0.763965328388036,256.2353707000002
53,Low LR branch,3,5e-05,0.1797615284007315,0.7723722603692175,0.9065860362587064,0.7316709603249709,0.7621969353581558,256.534552000001
54,Low LR branch,4,5e-05,0.1724369208221911,0.7709757526915376,0.908194538516152,0.7329451870540079,0.7614681112821552,271.9865241000007
