member,label,spearman,ndcg_at_10pct
pred__cat_rank,CatBoost rank,0.7860105986098624,0.8858695750115618
pred__cat_raw,CatBoost raw,0.7805394172027377,0.8989957643731804
pred__lgbm_normal,LightGBM normal,0.7885350688795788,0.8998134442943561
pred__lgbm_rank,LightGBM rank,0.7920179686980371,0.8867788750323936
pred__lgbm_raw,LightGBM raw,0.7890511037648098,0.8980635523192394
pred__xgb_rank,XGBoost rank,0.7925805421801625,0.8830513674394027
pred__xgb_raw,XGBoost raw,0.7904693451737037,0.8995335059040667
pred__vector_mu,Equivariant vector,0.7778363082806379,0.9100681456929094
score__fusion,Eight-member fusion,0.8186814543568804,0.9158303431788138
