external_index,source_table,row_index,name,D,P,canonical_smiles,heavy_atoms,mol_wt,pred__cat_rank,pred__cat_raw,pred__lgbm_normal,pred__lgbm_rank,pred__lgbm_raw,pred__xgb_rank,pred__xgb_raw,P_pred__single_lgbm_raw,pred__vector_mu,score__cat_rank,score__cat_raw,score__lgbm_normal,score__lgbm_rank,score__lgbm_raw,score__xgb_rank,score__xgb_raw,score__vector_mu,D_score__final_eight_member,D_rank_desc,P_rank_desc,D_score__recomputed_subset
151,official_train,159,(E)-2-Butenenitrile,4.889,54.02891429,C/C=C/C#N,5,67.09100000000001,0.8359265021434688,4.722307868685894,1.1168352989341397,0.8637501387907153,4.892760190495447,0.85372114,2.1114645,52.226492414285275,4.740975856781006,0.9553072625698324,0.9329608938547486,0.9385474860335196,0.9664804469273744,0.9329608938547486,0.988826815642458,0.9385474860335196,0.9162011173184358,0.9469356424581006,8,126,1.0
183,official_train,193,"Thiophene, 2,3-dihydro-",1.719,63.8591629,C1=CSCC1,5,86.159,0.1926806833225802,1.869489670387917,-1.0055337112414031,0.1632805945557328,1.741456777477502,0.16618407,-1.0056887,61.76148601779041,1.5658771991729736,0.3351955307262569,0.3575418994413408,0.3463687150837989,0.2458100558659217,0.2960893854748603,0.2458100558659217,0.2960893854748603,0.441340782122905,0.3359843575418994,125,108,0.1570741176470588
313,official_test,55,1-Bromo-1-fluoroethylene,1.451074,43.933,C=C(F)Br,4,124.94,0.1642482548551047,1.7527971750298308,-1.0417469379871616,0.1648895044631637,1.6593380904302946,0.14024594,-1.1981568,41.46458361854323,1.331911325454712,0.2122905027932961,0.2905027932960894,0.2960893854748603,0.2513966480446927,0.2513966480446927,0.1843575418994413,0.2234636871508379,0.3687150837988827,0.2804663687150838,139,155,0.10926117647058822
16,official_train,16,2-乙酰吡咯,4.6292,82.419,CC(=O)c1ccc[nH]1,8,109.12799999999996,0.5304985389069702,3.1937721203894496,0.145045182431983,0.4946745148208478,3.1424395837075663,0.5518089,0.5054689,76.74101595968946,4.347037315368652,0.7988826815642458,0.7877094972067039,0.8044692737430168,0.7821229050279329,0.7932960893854749,0.8268156424581006,0.7877094972067039,0.888268156424581,0.8394531843575419,32,73,0.7970211764705883
9,official_train,9,"2,2,4,4-T etramethylpentan-3-one",2.766,94.566,CC(C)(C)C(=O)C(C)(C)C,10,142.242,0.3512092166630212,2.5416004169295876,-0.3842980866713292,0.3596060941505052,2.598892636852085,0.3817248,-0.1688906,109.3744193190336,1.0953015089035034,0.6033519553072626,0.6145251396648045,0.6536312849162011,0.6424581005586593,0.6480446927374302,0.659217877094972,0.6424581005586593,0.3128491620111732,0.5066379888268157,88,30,0.2817564705882353
260,official_test,2,"2,2,5,5-T etramethylhexan-3-one",2.706,105.279,CC(C)(C)CC(=O)C(C)(C)C,11,156.26899999999998,0.3462165514604245,2.518617792074285,-0.3876537710680699,0.3623857696043254,2.648549646102144,0.3426599,-0.22132981,122.50288851025049,2.0379278659820557,0.5977653631284916,0.5977653631284916,0.6480446927374302,0.6480446927374302,0.6703910614525139,0.5977653631284916,0.6201117318435754,0.5698324022346368,0.5982241340782122,71,15,0.32674000000000003
10,official_train,10,"2,2,6,6-T etramethylheptan-4-one",2.73,117.069,CC(C)(C)CC(=O)CC(C)(C)C,12,170.296,0.361291864477223,2.410939206075572,-0.4254249312693742,0.3332552573861823,2.504680134093499,0.328115,-0.12565418,138.34359331699918,2.9014370441436768,0.6145251396648045,0.5810055865921788,0.6201117318435754,0.5921787709497207,0.6089385474860335,0.5865921787709497,0.6480446927374302,0.7374301675977654,0.6601179888268156,58,12,0.4112576470588235
13,official_train,13,"2,6-Dimethylheptan-4-one",2.57,95.856,CC(C)CC(=O)CC(C)C,10,142.242,0.3946687399380985,2.618576059606295,-0.2647531671998883,0.3773098753321762,2.6277387087441273,0.38034102,-0.117983595,111.76848842199882,2.6614997386932373,0.6536312849162011,0.6480446927374302,0.6983240223463687,0.664804469273743,0.659217877094972,0.6536312849162011,0.6536312849162011,0.6983240223463687,0.6747418994413408,55,26,0.4735376470588235
273,official_test,15,"Isopropyl 2,2-dimethylpropanoate",1.949,89.235,CC(C)OC(=O)C(C)(C)C,10,144.21399999999997,0.2143714272479178,1.923477261227921,-0.8331713749090094,0.2077866410979135,1.8924800720479813,0.21195449,-0.89815,103.51348432088072,1.2334144115447998,0.3966480446927374,0.4189944134078212,0.4860335195530726,0.3798882681564245,0.4301675977653631,0.4022346368715084,0.3743016759776536,0.3463687150837989,0.3708435754189944,116,37,0.13862
236,official_train,248,Pentyl 2-bromoacetate,3.902223,110.376,CCCCCOC(=O)CBr,10,209.08299999999997,0.3910596427340779,2.8665146808005826,-0.5372214521848885,0.3230987141195549,2.554905450829993,0.39843443,-0.27236527,108.11833850494294,2.156698226928711,0.6480446927374302,0.7039106145251397,0.5810055865921788,0.5810055865921788,0.6201117318435754,0.6871508379888268,0.6089385474860335,0.6201117318435754,0.6285418994413408,66,32,0.3850376470588235
