pareto_order,standard_name,D_rank,P_rank,qD,qP,knee_distance,selected
1,EGBE,65,1,0.168831169,1.000000000,0.000000,false
2,TRIGLYME,48,2,0.389610390,0.987012987,0.127434,false
3,TFEP,46,3,0.415584416,0.974025974,0.133464,false
4,TEP,38,4,0.519480519,0.961038961,0.188056,false
5,DMOTFS,31,5,0.610389610,0.948051948,0.234554,false
6,DMEE,24,14,0.701298701,0.831168831,0.199800,false
7,DMTMSA,4,18,0.961038961,0.779220779,0.321044,true
8,PC,1,52,1.000000000,0.337662338,0.000000,false
